ResponseID,ResponseSet,Name,ExternalDataReference,Country,Status,StartDate,EndDate,Finished,Eff,Consent,Instruct1,ArticleIns,ArtInstruc,Neutral,HighEff,LowEff,ReadTime_1,ReadTime_2,ReadTime_3,ReadTime_4,MCIntro,Scary,Disgusting,Severe,Threaten,Effective,GWInstruct,GW01Trend,GW02HumDri,GW03Smoke,GW05Percen,GW06Solar,GW07Little,GW08Direct,GW09Threat,IntentionI,In01Bulbs,In02Winter,In03Summer,In04Washin,In05Dryer,In06Recycl,In07Paper,In08Water,In09Bags,In10Drive,In11Vote,In12Write,MoralIntro,M01Suffer,M02Rights,M03Proud,M04Guilty,M05Virtuou,M06Negativ,M07Positiv,M08Punish,M09Reward,M10Wrong,M11Right,PolicyIntr,Policies_Plastic,Policies_Reuse,Policies_Cup,Policies_Commute,Policies_Hybrid,Policies_MPG,Policies_Carpool,Disposable,Reusable,Drinks,Commuter,Hybrid,MPG,Carpool,DemoInstru,Gender,age,LibCon,Suspicion,Purpose,Thoughts,BebriefInt,Debriefing,GW06Solar_r,GW07Little_r,negEmoAvg,beliefAvg,intentionAvg,moralAvg,policyCount,filter_$,MatchSequence,ZintentionAvg,ZmoralAvg
R_a5BxDe7z2Z0cQTP,Live,Anonymous,,India,0,6/22/15 9:07,6/22/15 9:26,1,-0.5,4,1,1,1,1,,1,14.264,865.62,917.039,8,1,6,5,5,6,5,1,5,5,4,4,4,5,3,5,1,3,5,5,5,4,5,4,5,5,3,4,4,1,4,5,6,4,4,6,5,5,5,5,4,1,1,2,2,2,1,1,2,6,,,,7,5,,1,1,38,5,1,ns,no,1,1,4,3,5.5,4.125,4.333333333,4.818181818,3,0,1,,
R_0IDgSkavS2wKXxr,Live,Anonymous,,India,0,6/22/15 9:27,6/22/15 9:31,1,0.5,4,1,1,1,1,1,,0,0,50.808,0,1,6,6,5,5,5,1,5,5,6,4,4,5,4,3,1,5,4,4,4,5,3,4,5,5,5,5,5,1,4,5,4,6,6,5,6,6,3,5,5,1,1,1,1,1,2,2,1,8,8,7,7,,,6,1,2,34,5,1,not sure,no,1,1,4,3,5.5,4.25,4.5,5,5,0,2,,
R_0U4VlaZ8uxjZ6vj,Live,Anonymous,,United States,0,6/16/15 9:53,6/16/15 9:59,1,-0.5,4,1,1,1,1,,1,1.463,73.532,74.128,2,1,3,1,1,1,2,1,5,2,2,4,5,6,4,1,1,7,5,7,6,1,6,4,5,1,4,4,1,1,4,4,4,4,1,1,1,1,4,1,4,1,2,1,1,2,1,2,2,,8,5,,10,,,1,1,32,2,1,opinions on contributing to less energy usage,no,1,1,3,2,1.5,2.875,4.25,2.636363636,3,0,1,,
R_cMj9uAXKjAAA23P,Live,Anonymous,,United States,0,6/22/15 9:19,6/22/15 9:24,1,-0.5,4,1,1,1,1,,1,0,0,62.544,0,1,6,6,6,5,7,1,5,7,7,5,5,6,7,6,1,7,7,5,6,2,7,3,5,6,3,5,6,1,5,6,7,5,1,5,1,3,6,2,5,1,1,1,1,2,2,2,1,3,6,6,,,,2,1,2,35,6,1,"\series of questions about your life experiences""", personality," and/or beliefs \""	none""",3,2,5.75,5.25,5.166666667,4.181818182,4,0,2,,,
R_dduc9W9fslLYPeR,Live,Anonymous,,United States,0,6/22/15 9:42,6/22/15 9:52,1,-0.5,4,1,1,1,1,,1,0,0,135.238,0,1,3,5,5,3,2,1,5,5,4,5,5,3,2,4,1,6,5,7,6,6,7,5,2,4,4,4,2,1,4,2,5,5,3,5,2,3,5,5,5,1,2,1,1,2,1,2,2,,5,5,,1,,,1,2,41,4,1,social perception and how people feel on climate change,no thank you,1,1,3,5,4,4.125,4.833333333,4,3,1,0,0.134086132,-0.444533349
R_cIIMPRe5X5HbeK1,Live,Anonymous,,United States,0,6/16/15 10:16,6/16/15 10:26,1,0.5,4,1,1,1,1,1,,0,0,66.86,0,1,1,5,2,4,5,1,6,1,1,1,7,7,4,2,1,1,2,2,7,4,7,2,7,2,1,2,1,1,4,1,1,4,1,1,1,1,4,4,4,1,2,2,2,2,2,2,2,,,,,,,,1,1,53,7,1,To see if attitudes about global warming are consistent within the non-scientific.,no,1,1,1,1,3,2.125,3.166666667,2.363636364,0,1,0,-1.221758456,-1.694066919
R_0Ie7JT5FdqIy1JX,Live,Anonymous,,United States,0,6/16/15 9:55,6/16/15 10:08,1,0.5,4,1,1,1,1,1,,0,0,120.864,0,1,5,7,6,5,4,1,6,5,5,5,6,5,5,7,1,6,5,5,6,7,7,4,2,3,5,5,3,1,7,6,6,7,4,6,4,4,5,5,5,1,2,1,1,2,1,2,1,,10,10,,10,,10,1,2,32,4,1,To see how we felt about the theory of climate change and what we would do to decrease global worming.,No. Thanks,1,1,2,3,5.75,4.75,4.833333333,5.363636364,4,1,0,0.134086132,0.596744625
R_3Wqx1SjM8LJQpzD,Live,Anonymous,,United States,0,6/16/15 10:16,6/16/15 10:21,1,-0.5,4,1,1,1,1,,1,2.861,57.635,58.389,2,1,4,5,6,5,3,1,6,6,6,6,1,2,5,6,1,5,1,1,5,1,6,1,1,1,1,7,1,1,5,4,4,6,1,4,3,4,5,5,2,1,2,1,1,2,1,2,1,,10,10,,10,,4,1,1,29,3,1,Seeing the influence an explanation that the individual has little effect on global warming has.,Nope,1,1,7,6,5,6,2.583333333,3.909090909,4,1,0,-1.696304062,-0.513951881
R_dcidp1x7Znpa4lf,Live,Anonymous,,United States,0,6/16/15 9:55,6/16/15 10:01,1,-0.5,4,1,1,1,1,,1,47.337,48.979,49.564,2,1,3,4,5,6,3,1,6,6,6,4,3,1,5,6,1,4,7,1,7,1,4,4,5,4,3,5,4,1,4,4,4,7,1,6,2,1,5,1,1,1,2,1,1,2,2,2,2,,4,5,,,,,1,2,20,3,1,To see if people's moral beliefs affect how they treat our economy and enviorment,no,1,1,5,7,4.5,5.625,4.083333333,3.272727273,2,1,0,-0.476043933,-0.999881603
R_9vgNcDI0h6wRmSh,Live,Anonymous,,United States,0,6/16/15 10:39,6/16/15 10:45,1,0.5,4,1,1,1,1,1,,0,0,82.217,0,1,5,5,7,6,6,1,7,6,5,4,2,1,6,6,1,7,3,4,7,4,7,4,6,7,2,6,3,1,6,5,6,6,1,5,1,2,5,1,4,1,1,1,1,2,1,1,2,1,1,1,,10,5,,1,2,28,2,1,Willingness to change habits to support conservation,no,1,1,6,7,5.75,5.875,5,3.818181818,5,1,0,0.269670591,-0.583370413
